Consumido;Concedido(Risc);Forma de plazo (en dies);Fp. Real;Morós
124,83;0;0;9;0
230,11;0;0;184;0
311,19;2500;30;48;0
272,72;6000;75;111;0
283;3000;75;98;0
1098,71;6000;85;56;0
923,55;2000;60;68;1
2715,98;0;50;123;0
322;12000;35;38;0
74696,96;120000;135;130;1
47461,18;10000;0;46;0
682,08;0;0;3;0
147,34;1000;30;45;0
0,84;0;0;0;0
132,21;1500;50;88;0
55,96;6000;100;124;0
35952,36;0;0;0;1
157,41;1000;0;24;0
55437,9;6000;30;66;0
-13,24;6000;30;60;0
1130,83;5000;90;103;0
4734,28;10000;60;67;0
37,43;0;0;39;0
1491,48;3000;60;67;0
2711,09;3000;90;88;0
606,76;3000;60;111;0
4781,06;25000;75;105;1
1941,18;35000;60;98;0
-58,3;4000;30;71;0
17537,79;0;60;35;1
3373,97;18000;95;128;0
-259,36;3000;105;118;0
8568,87;0;0;389;0
759,44;3000;30;19;0
1896,94;6000;95;142;0
1698;19000;120;94;0
1402,68;5000;60;71;0
1880,05;6000;80;91;1
821,99;7000;55;68;0
735,18;3000;80;97;0
1425,63;5000;90;65;0
662,48;0;0;12;1
282,16;8000;55;54;0
317,98;6000;100;141;0
1279,27;3000;30;76;0
2911,66;15000;65;66;0
208,47;2000;30;90;0
14,34;3000;45;46;0
2087,29;0;0;114;0
450,36;6000;0;115;0
1282,09;0;0;12;0
23,92;0;55;41;0
14561,36;20000;30;57;1
1311,04;3000;75;94;0
175,06;6000;120;94;0
447,78;3000;75;105;0
1598,58;3000;80;88;0
362,85;5000;0;42;0
352,78;3000;30;72;0
1490,93;10000;37;62;0
1060,83;6000;40;76;0
13,57;2000;60;93;0
230,96;2000;72;111;0
14808,55;42000;60;39;0
389,88;0;0;?;0
63060,4;6000;100;90;0
1716,34;50000;60;77;0
800,39;3000;45;187;0
1352,48;0;30;100;0
818,95;5000;105;137;0
23828,07;70000;70;94;0
305,91;3000;40;50;0
3800,15;15000;70;105;0
0,06;5000;89;101;1
143,99;3000;30;70;0
1706,16;3500;90;80;0
333,59;0;0;?;0
75,76;0;0;?;0
358,91;0;0;-14;0
0;3000;30;120;0
3165,87;4000;60;108;1
118,7;1000;50;78;0
2299,97;7000;0;87;1
8411,75;2000;60;-197;0
668,1;100000;65;84;0
1022,66;6000;0;53;0
0;2000;50;74;0
50475,8;30000;80;130;0
16071,17;3500;90;117;0
1649,74;2000;90;91;0
105,84;3000;60;87;0
4399,72;3000;30;40;0
83,91;6000;0;81;0
2099,02;10000;80;98;0
10357,69;18000;0;75;0
1379,37;0;0;45;0
283,53;3000;30;68;0
44,84;6000;0;18;0
193,36;0;30;?;0
1111,88;25000;60;55;0
303,12;3000;0;75;0
195,6;3000;40;104;0
164,74;6000;120;99;0
7034,24;10000;40;89;0
933,78;6000;70;119;0
2734,42;5000;60;87;0
0;2000;0;?;0
226,87;0;30;107;0
424,91;2000;0;0;0
3712,49;25000;115;124;0
0;0;0;78;0
1018,36;0;10;104;0
7594,88;15000;75;80;0
641,63;12000;60;10;0
16834,64;80000;70;87;0
2339,81;0;0;16;0
547,46;40000;40;58;0
2334,29;3000;0;58;0
25796,14;5000;60;97;1
15278,93;10000;90;96;0
455,04;5000;60;82;0
179,93;0;0;81;0
4283,11;25000;45;76;0
5122,06;0;72;75;0
761,73;3000;30;41;0
132,55;10000;50;116;0
233,42;0;0;19;0
3,25;0;0;?;0
3512,33;3000;60;85;0
1155,39;3000;30;55;0
396,72;2000;0;78;0
954,66;0;0;1;0
40,05;3000;67;134;0
5472,04;10000;90;91;0
697,86;5000;60;87;0
35,33;2000;0;129;0
19607,48;7000;50;101;0
9233,39;0;100;135;0
520,46;5000;70;107;0
253,61;2000;30;0;0
0;2000;0;128;0
147,03;3000;0;8;0
166,55;0;60;43;0
154,59;6000;0;95;0
570,62;3000;90;114;0
0;5000;80;?;0
1109,02;15000;60;93;0
166,26;3000;40;56;0
1717,09;10000;60;78;0
180,28;3000;82;86;0
377,91;3000;90;83;0
582,63;3000;30;98;0
123,16;0;0;3;0
33038,42;65000;60;86;0
0;0;0;51;0
-609,56;10000;75;113;0
211,32;5000;60;82;0
-70,54;0;0;94;0
3298,88;20000;50;93;0
33,38;0;0;?;0
62856,26;0;15;105;1
1216,53;5000;30;42;0
7469,3;0;0;236;0
28170,83;0;15;138;1
-19,08;3000;30;65;0
2987,81;6000;34;59;0
35345,07;0;0;82;0
157,12;6000;10;64;0
420,14;6000;30;65;0
4270,43;15000;30;84;0
4183,23;20000;90;112;0
14908,43;20000;105;85;0
27867,08;15000;20;92;0
-4,32;3000;75;106;0
1085,3;15000;60;113;0
6574,89;2000;60;107;0
441,2;3000;30;30;0
-1575,94;8000;60;93;0
480,3;0;0;148;0
546,21;3000;30;100;0
73962,13;35000;115;124;0
1919,24;50000;45;100;0
945,68;6000;78;110;0
2557,87;2000;0;284;0
1,5;0;16;89;0
79,32;4000;60;103;0
818,63;0;0;88;0
93,49;3000;30;55;0
1111,43;3000;65;77;0
59,77;2000;0;115;0
2925,05;0;0;-32;0
914,91;20000;90;98;0
128;2000;35;49;0
3610,88;3000;95;68;0
4,25;6000;95;67;0
1125,52;5000;60;94;0
21288,36;0;0;52;0
38025,9;30000;80;93;1
4381,44;10000;30;95;0
1902,15;0;0;27;0
11048,34;30000;85;96;0
752,97;0;0;107;0
13366,92;20000;85;86;0
5865,68;5000;0;103;0
1768,99;0;0;88;0
7815,9;10000;60;85;0
638,12;3000;91;149;0
573,53;6000;60;61;0
20845,96;0;25;134;0
2977,42;0;10;73;0
704,86;5000;85;110;0
1468,71;0;15;?;0
497,41;3000;45;125;0
1737,96;3000;60;77;0
97523,3;0;30;115;1
19765,93;0;25;67;0
22887,63;0;0;92;0
1586,42;6000;60;64;0
-39,12;2000;30;87;0
144,31;0;30;0;0
49,64;0;30;120;0
43290,24;0;5;75;1
5141,06;4000;60;81;0
1499,54;3000;40;105;0
501,85;0;0;80;0
1774,68;0;0;117;0
4448,82;0;55;140;1
5304;0;0;112;0
9888,85;15000;80;79;0
26292,5;6000;30;54;0
2273,58;0;0;371;0
3919,8;6000;85;105;0
703,79;5000;70;111;0
22336,19;0;0;160;0
26574,16;10000;80;109;1
3998,65;5000;60;164;0
47443,33;0;15;127;1
5488,07;4000;30;33;0
10465,26;3000;30;121;0
1244,39;6000;0;48;0
143,29;3000;30;62;0
286,73;0;0;115;0
9569,92;0;30;105;0
69,55;1000;55;67;0
88442,67;0;20;21;1
2181,59;3000;60;50;0
5425,84;0;0;82;0
-863,47;0;10;69;0
26786,99;0;30;20;1
2110,33;5000;60;66;1
258,01;0;0;15;0
4159,75;5000;0;114;0
370,34;0;0;79;0
148,68;0;0;29;0
2942,05;0;0;1;0
15278,79;0;0;11;0
8261,75;0;0;53;1
2002,21;20000;0;12;0
0;0;0;80;0
287,15;0;0;205;1
5409,69;0;0;0;0
7,3;0;0;2;0
2582,33;5000;120;121;0
2140,48;0;0;40;0
7368,46;10000;60;81;0
614,5;4000;60;89;0
360,79;2000;45;65;0
2951,03;2000;55;81;0
7071,59;0;25;112;1
1853,84;3000;115;130;1
1660,34;1500;30;47;0
53,98;1500;60;46;0
12837,19;0;0;7;0
2280,89;5000;65;104;0
2875,71;2000;20;36;0
363,08;6000;0;135;0
2804,27;5000;0;188;0
69,15;0;0;78;0
0;3000;50;16;0
2870,22;10000;60;62;1
353,93;10000;60;64;0
1677,74;0;33;51;0
0;0;25;97;0
60,12;0;30;56;0
3082,54;6000;90;111;0
3485,86;5000;59;48;0
308,22;0;0;10;0
577,88;0;0;14;0
30,8;0;0;20;0
166,79;3000;0;23;0
8592,24;5000;120;105;1
4272,31;0;0;0;0
278,07;0;25;103;0
90,64;0;0;5;0
3111,24;20000;60;75;0
202,01;0;25;104;0
18968,92;5000;30;44;0
367,37;3000;60;54;0
157,06;0;0;51;0
823,32;0;0;0;0
1117,82;0;5;93;1
404,77;5000;60;75;0
493,46;0;0;0;0
239,94;30000;63;85;0
747;3000;15;138;0
1651,35;0;0;40;0
294,56;10000;30;23;0
11,48;0;0;2;0
1382,61;6000;120;121;0
6609,76;10000;30;51;0
819,57;3000;85;101;0
2859,22;0;0;26;0
163,31;5000;30;94;0
299,39;3000;60;119;0
4017,06;3000;30;76;0
7882,15;0;25;139;0
817,65;2000;30;68;0
2255,09;3000;36;49;0
71,43;0;0;1;0
269,49;20000;30;40;0
11401,11;0;15;140;0
39,53;0;0;6;0
467,23;2500;30;43;0
43,91;0;0;28;0
9288,33;25000;85;90;0
539,72;0;0;42;0
26108,76;0;0;15;0
2267,38;0;0;0;0
5648,48;0;0;24;0
2831,93;0;0;42;1
-75,68;10000;45;45;0
97,8;0;5;0;0
8823,01;0;50;72;0
16352,21;6000;80;77;0
297,73;0;0;8;0
493120,9;0;0;154;1
365,12;0;90;79;0
19309,9;0;15;137;1
242,4;4000;90;82;0
1904,94;0;0;323;0
3083,35;0;0;6;0
628,74;0;0;7;0
994,91;10000;90;53;1
324,74;3000;10;75;0
281,44;0;0;7;0
7526,71;3000;60;72;1
155,32;0;0;3;0
11311,82;0;0;1;0
245,43;10000;45;64;0
609,96;6000;60;59;0
5003,19;0;0;-2;0
1509,95;20000;85;78;0
24,61;0;0;42;0
0;2000;90;810;0
4888,24;0;0;29;0
9757,94;0;5;49;0
73,69;0;0;0;0
2169,63;2000;30;?;0
219,49;2000;35;57;0
409,95;0;0;4;0
96;2000;55;64;0
9045,14;6000;0;24;0
26181,97;0;15;51;0
169,35;0;0;8;0
276,62;0;0;1;0
2221,29;0;0;2;0
38,86;0;12;4;0
76,46;0;0;4;0
275,86;2000;55;25;0
330,23;0;0;1;0
450,42;3000;60;67;0
18,16;0;0;0;0
1895,61;3000;60;66;0
191,35;3000;95;145;0
6331,11;3000;30;14;0
5323,79;6000;90;107;0
624,73;5000;31;35;0
-26,61;0;0;2;0
1896,26;0;0;2;0
156,45;0;0;4;0
1445,94;0;0;11;0
72,71;1000;0;11;0
1444,79;0;0;1;0
14137,17;0;15;86;0
3854,59;0;30;63;0
0;0;0;24;0
47,08;0;30;75;0
1164,39;2000;10;30;0
19880,83;5000;30;124;0
127,92;0;0;2;0
3940,67;0;0;44;0
4515,33;0;0;10;0
434,78;3000;30;49;0
49,28;3000;30;25;0
29,7;0;0;0;0
701,9;0;0;55;0
250,05;0;0;0;0
1379,99;0;0;32;0
3745,61;0;0;?;0
664,93;0;0;8;0
6845,09;3000;30;81;0
2135,23;0;0;?;0
3943,75;7000;30;44;0
59993,75;0;0;154;0
1455,65;2000;30;30;0
2969,98;0;0;?;0
-700;0;0;0;0
4605,07;0;0;1;0
386,26;3000;66;75;0
2158,61;0;0;4;0
1038,24;20000;30;40;0
999,68;0;45;38;0
4118,44;0;30;-3;0
911,03;5000;30;39;0
0;0;0;35;0
0;0;0;0;0
4746,34;3000;60;39;0
1746,18;3000;60;73;0
454,58;2000;30;44;0
963,81;3000;47;52;0
3017,25;0;0;?;0
36,48;3000;75;76;0
2034,54;6000;30;38;0
98,85;0;0;0;0
9,12;0;0;0;0
39,07;6000;30;53;0
2201,87;3000;30;47;0
2247,86;3000;90;30;0
2326,11;4000;30;41;0
5929,96;10000;70;132;0
206,03;2000;60;41;0
11680,72;20000;60;83;0
1838,17;2000;0;27;0
55,68;2000;0;127;0
223,11;0;0;1;0
1289,48;0;0;30;0
50;0;0;0;0
4598,05;6000;90;95;0
1005,38;2000;0;193;0
2440,07;0;0;1;0
148,23;0;0;3;0
755,47;6000;65;72;0
0,42;0;0;1;0
685,04;0;0;4;0
356,12;0;0;4;0
0;0;0;?;0
1820,47;0;0;0;0
986,51;6000;110;145;0
2959,22;6000;75;67;0
13687,89;24000;45;80;0
2671,94;3000;60;73;0
14186;4000;0;78;0
350,68;5000;30;46;0
1109,89;2000;0;59;0
1050,77;0;0;2;0
3170,56;10000;85;85;0
274,37;0;0;0;0
23,33;4000;30;32;0
1081,84;0;25;148;0
239,91;0;0;0;0
327,12;25000;30;42;0
719,73;0;0;5;0
2847,15;0;0;10;0
337,27;0;0;0;0
508,08;0;0;1;0
1880,64;0;0;2;0
81,68;2000;30;37;0
108,43;3000;0;41;0
36,18;0;0;0;0
460,67;1500;60;37;0
6600,27;3000;0;72;0
171,63;6000;0;13;0
419,76;0;0;7;0
434,29;10000;60;47;0
-279,7;3000;30;45;0
290,84;2000;0;21;1
399,8;0;0;100;0
3066,2;0;0;10;1
6205,51;10000;90;98;0
3735,62;8000;90;91;0
1390;0;90;85;0
10,84;0;0;0;0
27762,29;40000;91;85;0
68,46;0;60;36;0
401,24;0;0;7;0
1650,63;0;0;0;0
195,6;6000;0;93;0
-12,17;6000;0;58;0
-116,81;3000;30;47;0
-172,53;0;0;4;0
5,48;0;0;4;0
239,66;2000;50;?;0
0;0;0;30;0
5865,21;4000;80;90;0
18,04;0;0;1;0
395,28;0;0;7;0
14964,2;50000;90;73;0
1814,57;6000;50;49;0
292,02;6000;78;83;0
405,29;0;75;55;0
1685,81;12000;30;40;0
55,71;0;0;?;0
812,64;15000;30;75;0
31,95;0;0;0;0
140,88;0;0;133;0
10287,38;6000;60;113;0
50;0;0;3;0
345,24;0;0;40;0
128,55;0;0;72;0
321,5;0;0;17;0
7827,23;20000;30;32;0
64,7;0;0;0;0
433,18;8000;35;67;0
4156;17000;19;32;0
2213,59;0;0;41;0
871,1;0;0;5;0
21460,86;0;30;-25;0
0;0;0;95;0
12112,14;38000;100;112;0
18542,67;45000;90;50;0
1242,47;4000;40;58;0
308,99;0;0;2;0
150;0;0;4;0
3801,59;10000;40;48;0
1468,96;10000;0;109;0
325,13;0;88;78;0
3563,61;22000;60;59;0
24,27;0;0;1;0
0;0;0;0;0
3989,18;0;30;-1;0
40,41;2000;30;52;0
6855,68;10000;30;45;0
136,59;0;0;?;0
5278,7;0;30;61;0
0;0;0;20;0
367,4;10000;60;70;0
2381,89;1000;75;61;0
15815,42;5000;89;59;1
1365,5;10000;30;66;0
130,05;0;0;1;0
778,8;6000;80;81;0
132,3;0;30;29;0
1310,33;0;30;55;0
52,42;0;0;-5;0
25;10000;0;4;0
679,9;0;45;63;0
87,05;0;0;3;0
151,36;0;90;4;0
745,37;20000;55;30;0
146,53;0;0;17;0
153;0;0;?;0
913,43;3000;30;41;0
123,9;10000;60;45;0
154,79;3000;30;?;0
0,15;0;40;19;0
355,57;0;18;24;0
2739,43;0;0;20;0
350,31;2500;30;37;0
11798,38;0;25;104;0
-269,76;30000;60;60;0
361,4;0;0;-4;0
102,71;20000;0;61;0
516,87;0;0;72;0
123052,99;0;30;111;0
162,83;2000;30;32;0
3962,07;10000;30;55;1
553,14;10000;30;24;0
0,01;0;0;0;0
173,91;0;30;14;0
-68,78;0;30;30;0
2268,63;3500;30;54;0
0;0;30;?;0
2448,72;0;0;12;0
63,67;2000;75;?;0
177;0;0;?;0
176,72;0;0;1;0
-206,33;0;30;30;0
637,63;0;18;32;0
1205,64;18000;0;15;0
3523,48;2000;85;63;0
2158,95;2500;30;?;0
600,02;0;0;11;0
432,08;50000;90;91;0
15246,83;0;90;202;0
-22,55;10000;50;49;0
-8,99;0;0;0;0
2030,88;0;0;104;1
77,48;10000;55;56;0
704,27;0;0;7;0
14,16;0;0;0;0
144,37;0;0;87;0
0;0;0;?;0
57,35;0;0;3;0
4000;0;0;58;0
95,67;15000;0;7;0
191,76;0;0;1;0
1914,39;6000;55;82;0
335,76;0;0;4;0
1000;0;0;38;0
473,53;10000;30;0;0
0;0;0;0;0
330,77;0;0;15;0
-43,12;5000;30;52;0
0;0;0;1;0
40112,8;0;90;84;0
277,52;0;30;29;0
1520,11;0;40;46;0
13,98;0;0;?;0
152,44;20000;80;43;0
31979,43;15000;30;81;0
6033,7;0;30;170;0
449,56;0;0;1;0
1886,89;15000;0;27;0
3514,9;15000;0;64;0
612,28;0;65;69;0
148,68;30000;55;?;0
1903,31;10000;75;77;0
781,33;10000;60;58;0
-1157,13;3000;30;31;0
422,22;0;0;1;0
30,07;30000;30;30;0
0;0;0;15;0
368,79;3000;60;53;0
19,47;10000;85;80;0
3141,48;0;20;-22;0
25,56;25000;35;17;0
1928,35;25000;60;67;0
194,18;0;0;41;0
1622,41;0;30;50;0
1334,58;20000;0;11;0
16,94;0;0;?;0
46,61;0;0;0;0
354,03;2000;30;37;0
2751,23;10000;60;61;0
-610,02;10000;75;163;0
480,6;10000;60;64;0
13180,28;10000;35;47;0
357,28;0;0;14;0
293,14;12000;30;44;0
4060,55;0;60;83;0
1127,43;0;0;6;0
1236,92;100000;67;130;0
5597,02;0;85;89;0
433,42;0;0;27;0
65,18;15000;60;77;0
3198,33;10000;80;92;0
1826,15;10000;35;67;0
5365,28;0;60;72;0
634,34;1000;40;113;0
444,6;10000;75;?;0
26,85;15000;90;40;0
255,88;20000;60;88;0
151,04;12000;80;82;0
197,17;15000;60;66;0
364,51;0;0;33;0
786,62;30000;30;48;0
5527,68;0;30;29;0
158,79;10000;30;33;0
80,7;10000;30;1;0
28,65;20000;30;37;0
423,6;0;30;44;0
64,9;0;30;51;0
4301,8;15000;60;74;0
0;0;30;42;0
402,61;10000;70;78;0
4693,68;15000;15;125;0
309,96;0;30;30;0
1577,73;30000;118;38;0
695,47;30000;30;78;0
2979,8;12000;30;27;0
6805,15;15000;30;43;0
662,08;10000;60;64;0
2449,61;0;35;55;0
85,81;10000;30;60;0
598,85;10000;60;105;0
262,86;10000;30;63;0
1178,02;15000;60;49;0
25239,9;30000;110;101;0
274,44;12000;90;85;0
105,13;4000;30;31;0
45,73;0;15;28;0
687,03;3000;75;?;0
0;0;0;?;0
1439,54;5000;30;41;0
1157,9;0;0;2;0
2053,07;15000;60;74;0
14017,13;15000;0;19;0
1341,94;6000;50;51;0
205,23;0;0;73;0
44,44;0;0;52;0
584,08;0;0;34;0
757,1;10000;30;33;0
225,93;0;0;0;0
502,07;0;30;-2;0
1338,46;6000;60;52;0
56085,14;25000;90;127;0
867,55;10000;60;?;0
141438,49;150000;115;115;0
11053,16;22000;70;57;0
924,26;0;0;-1;0
-30,6;0;0;3;0
376,79;0;0;1;0
3168,96;0;0;?;0
1724,25;3000;55;54;0
764,59;10000;40;46;0
1883,53;10000;40;49;0
789,61;10000;70;78;0
1759,54;0;0;?;0
795,26;15000;30;-199;0
897,03;0;60;69;0
47,2;0;0;1;0
1687,4;0;0;4;0
1038,4;0;0;?;0
0;0;0;0;0
3003,94;10000;55;45;0
325,21;0;0;0;0
506,26;3000;50;1;0
56,45;0;30;51;0
99,76;0;0;1;0
14244,11;0;0;?;0
1442,84;10000;60;77;0
3879,16;3000;85;82;0
233,85;15000;60;78;0
1986,01;3000;30;19;0
4115,03;0;0;?;0
-68,25;0;30;77;0
754,81;0;30;35;0
1520,19;0;55;50;0
1782,04;15000;45;61;0
813,62;0;0;18;0
1048,68;4000;30;111;0
165,68;15000;60;60;0
277,38;0;70;62;0
4931,73;20000;85;90;0
876,92;0;50;36;0
1740,67;0;30;35;0
1042,62;0;0;27;0
1151,51;0;120;91;0
250;0;0;?;0
148,38;3000;30;35;0
1079,35;2000;80;68;0
-92,89;0;0;3;0
15870,41;5000;60;64;0
61717,42;4000;60;0;0
111,92;4000;55;39;0
6904,81;0;0;?;0
210,69;2500;30;29;0
4850;0;0;?;0
54,46;0;0;8;0
343,99;0;0;2;0
309,13;0;45;4;0
6580,73;3000;0;96;0
12603,78;0;0;0;0
287,09;0;0;0;0
3789;0;0;?;0
1651,75;0;0;0;0
489,06;0;0;?;0
66,87;0;0;0;0
704;0;30;30;0
1100,61;2000;35;3;0
-100;0;0;1;0
80,96;0;0;0;0
186,49;3000;30;?;0
236,22;1500;30;?;0
128,58;6000;30;?;0
521,25;0;0;2;0
50,03;0;0;1;0
579,09;0;0;?;0
694,82;0;30;?;0
77239,49;0;0;15;0
