"Consumido";"Concedido(Risc)";"Diferencia";"Forma de plazo (en dies)";"Fp. Real";"Morós"
124,83;0;124,83;0;9;0
230,11;0;230,11;0;184;0
311,19;2500;-2188,81;30;48;0
272,72;6000;-5727,28;75;111;0
283;3000;-2717;75;98;0
1098,71;6000;-4901,29;85;56;0
923,55;2000;-1076,45;60;68;1
2715,98;0;2715,98;50;123;0
322;12000;"-11.678,00";35;38;0
74696,96;120000;-45303,04;135;130;1
47461,18;10000;37461,18;0;46;0
682,08;0;682,08;0;3;0
147,34;1000;-852,66;30;45;0
0,84;0;0,84;0;0;0
132,21;1500;-1367,79;50;88;0
55,96;6000;-5944,04;100;124;0
35952,36;0;35952,36;0;0;1
157,41;1000;-842,59;0;24;0
55437,9;6000;49437,9;30;66;0
-13,24;6000;-6013,24;30;60;0
1130,83;5000;-3869,17;90;103;0
4734,28;10000;-5265,72;60;67;0
37,43;0;37,43;0;39;0
1491,48;3000;-1508,52;60;67;0
2711,09;3000;-288,91;90;88;0
606,76;3000;-2393,24;60;111;0
4781,06;25000;-20218,94;75;105;1
1941,18;35000;-33058,82;60;98;0
-58,3;4000;-4058,3;30;71;0
17537,79;0;17537,79;60;35;1
3373,97;18000;-14626,03;95;128;0
-259,36;3000;-3259,36;105;118;0
8568,87;0;8568,87;0;389;0
759,44;3000;-2240,56;30;19;0
1896,94;6000;-4103,06;95;142;0
1698;19000;-17302;120;94;0
1402,68;5000;-3597,32;60;71;0
1880,05;6000;-4119,95;80;91;1
821,99;7000;-6178,01;55;68;0
735,18;3000;-2264,82;80;97;0
1425,63;5000;-3574,37;90;65;0
662,48;0;662,48;0;12;1
282,16;8000;-7717,84;55;54;0
317,98;6000;-5682,02;100;141;0
1279,27;3000;-1720,73;30;76;0
2911,66;15000;-12088,34;65;66;0
208,47;2000;-1791,53;30;90;0
14,34;3000;-2985,66;45;46;0
2087,29;0;2087,29;0;114;0
450,36;6000;-5549,64;0;115;0
1282,09;0;1282,09;0;12;0
23,92;0;23,92;55;41;0
14561,36;20000;-5438,64;30;57;1
1311,04;3000;-1688,96;75;94;0
175,06;6000;-5824,94;120;94;0
447,78;3000;-2552,22;75;105;0
1598,58;3000;-1401,42;80;88;0
362,85;5000;-4637,15;0;42;0
352,78;3000;-2647,22;30;72;0
1490,93;10000;-8509,07;37;62;0
1060,83;6000;-4939,17;40;76;0
13,57;2000;-1986,43;60;93;0
230,96;2000;-1769,04;72;111;0
14808,55;42000;-27191,45;60;39;0
389,88;0;389,88;0;;0
63060,4;6000;57060,4;100;90;0
1716,34;50000;-48283,66;60;77;0
800,39;3000;-2199,61;45;187;0
1352,48;0;1352,48;30;100;0
818,95;5000;-4181,05;105;137;0
23828,07;70000;-46171,93;70;94;0
305,91;3000;-2694,09;40;50;0
3800,15;15000;-11199,85;70;105;0
0,06;5000;-4999,94;89;101;1
143,99;3000;-2856,01;30;70;0
1706,16;3500;-1793,84;90;80;0
333,59;0;333,59;0;;0
75,76;0;75,76;0;;0
358,91;0;358,91;0;-14;0
0;3000;-3000;30;120;0
3165,87;4000;-834,13;60;108;1
118,7;1000;-881,3;50;78;0
2299,97;7000;-4700,03;0;87;1
8411,75;2000;6411,75;60;-197;0
668,1;100000;-99331,9;65;84;0
1022,66;6000;-4977,34;0;53;0
0;2000;-2000;50;74;0
50475,8;30000;20475,8;80;130;0
16071,17;3500;12571,17;90;117;0
1649,74;2000;-350,26;90;91;0
105,84;3000;-2894,16;60;87;0
4399,72;3000;1399,72;30;40;0
83,91;6000;-5916,09;0;81;0
2099,02;10000;-7900,98;80;98;0
10357,69;18000;-7642,31;0;75;0
1379,37;0;1379,37;0;45;0
283,53;3000;-2716,47;30;68;0
44,84;6000;-5955,16;0;18;0
193,36;0;193,36;30;;0
1111,88;25000;-23888,12;60;55;0
303,12;3000;-2696,88;0;75;0
195,6;3000;-2804,4;40;104;0
164,74;6000;-5835,26;120;99;0
7034,24;10000;-2965,76;40;89;0
933,78;6000;-5066,22;70;119;0
2734,42;5000;-2265,58;60;87;0
0;2000;-2000;0;;0
226,87;0;226,87;30;107;0
424,91;2000;-1575,09;0;0;0
3712,49;25000;-21287,51;115;124;0
0;0;0;0;78;0
1018,36;0;1018,36;10;104;0
7594,88;15000;-7405,12;75;80;0
641,63;12000;-11358,37;60;10;0
16834,64;80000;-63165,36;70;87;0
2339,81;0;2339,81;0;16;0
547,46;40000;-39452,54;40;58;0
2334,29;3000;-665,71;0;58;0
25796,14;5000;20796,14;60;97;1
15278,93;10000;5278,93;90;96;0
455,04;5000;-4544,96;60;82;0
;;;;;
179,93;0;179,93;0;81;0
;;;;;
4283,11;25000;-20716,89;45;76;0
;;;;;
5122,06;0;5122,06;72;75;0
;;;;;
761,73;3000;-2238,27;30;41;0
;;;;;
132,55;10000;-9867,45;50;116;0
;;;;;
233,42;0;233,42;0;19;0
;;;;;
3,25;0;3,25;0;;0
;;;;;
3512,33;3000;512,33;60;85;0
;;;;;
1155,39;3000;-1844,61;30;55;0
;;;;;
;;;;;
;;;;;
396,72;2000;-1603,28;0;78;0
;;;;;
954,66;0;954,66;0;1;0
;;;;;
40,05;3000;-2959,95;67;134;0
;;;;;
5472,04;10000;-4527,96;90;91;0
;;;;;
697,86;5000;-4302,14;60;87;0
;;;;;
35,33;2000;-1964,67;0;129;0
;;;;;
19607,48;7000;12607,48;50;101;0
;;;;;
9233,39;0;9233,39;100;135;0
;;;;;
520,46;5000;-4479,54;70;107;0
;;;;;
253,61;2000;-1746,39;30;0;0
;;;;;
0;2000;-2000;0;128;0
;;;;;
147,03;3000;-2852,97;0;8;0
;;;;;
166,55;0;166,55;60;43;0
;;;;;
;;;;;
;;;;;
154,59;6000;-5845,41;0;95;0
;;;;;
570,62;3000;-2429,38;90;114;0
;;;;;
0;5000;-5000;80;;0
;;;;;
1109,02;15000;-13890,98;60;93;0
;;;;;
166,26;3000;-2833,74;40;56;0
;;;;;
1717,09;10000;-8282,91;60;78;0
;;;;;
180,28;3000;-2819,72;82;86;0
;;;;;
377,91;3000;-2622,09;90;83;0
;;;;;
582,63;3000;-2417,37;30;98;0
;;;;;
123,16;0;123,16;0;3;0
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
33038,42;65000;-31961,58;60;86;0
;;;;;
0;0;0;0;51;0
;;;;;
-609,56;10000;-10609,56;75;113;0
;;;;;
211,32;5000;-4788,68;60;82;0
-70,54;0;-70,54;0;94;0
;;;;;
3298,88;20000;-16701,12;50;93;0
;;;;;
33,38;0;33,38;0;;0
;;;;;
62856,26;0;62856,26;15;105;1
;;;;;
1216,53;5000;-3783,47;30;42;0
;;;;;
7469,3;0;7469,3;0;236;0
;;;;;
28170,83;0;28170,83;15;138;1
;;;;;
-19,08;3000;-3019,08;30;65;0
;;;;;
2987,81;6000;-3012,19;34;59;0
;;;;;
35345,07;0;35345,07;0;82;0
;;;;;
157,12;6000;-5842,88;10;64;0
;;;;;
420,14;6000;-5579,86;30;65;0
;;;;;
4270,43;15000;-10729,57;30;84;0
;;;;;
;;;;;
;;;;;
4183,23;20000;-15816,77;90;112;0
;;;;;
14908,43;20000;-5091,57;105;85;0
;;;;;
27867,08;15000;12867,08;20;92;0
;;;;;
-4,32;3000;-3004,32;75;106;0
;;;;;
1085,3;15000;-13914,7;60;113;0
;;;;;
6574,89;2000;4574,89;60;107;0
;;;;;
441,2;3000;-2558,8;30;30;0
;;;;;
-1575,94;8000;-9575,94;60;93;0
;;;;;
480,3;0;480,3;0;148;0
;;;;;
546,21;3000;-2453,79;30;100;0
;;;;;
73962,13;35000;38962,13;115;124;0
;;;;;
1919,24;50000;-48080,76;45;100;0
;;;;;
945,68;6000;-5054,32;78;110;0
;;;;;
2557,87;2000;557,87;0;284;0
;;;;;
1,5;0;1,5;16;89;0
;;;;;
79,32;4000;-3920,68;60;103;0
;;;;;
818,63;0;818,63;0;88;0
;;;;;
93,49;3000;-2906,51;30;55;0
;;;;;
;;;;;
;;;;;
1111,43;3000;-1888,57;65;77;0
;;;;;
59,77;2000;-1940,23;0;115;0
;;;;;
;;;;;
;;;;;
2925,05;0;2925,05;0;-32;0
;;;;;
914,91;20000;-19085,09;90;98;0
;;;;;
128;2000;-1872;35;49;0
;;;;;
3610,88;3000;610,88;95;68;0
;;;;;
4,25;6000;-5995,75;95;67;0
;;;;;
1125,52;5000;-3874,48;60;94;0
;;;;;
21288,36;0;21288,36;0;52;0
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
38025,9;30000;8025,9;80;93;1
4381,44;10000;-5618,56;30;95;0
;;;;;
1902,15;0;1902,15;0;27;0
;;;;;
11048,34;30000;-18951,66;85;96;0
;;;;;
752,97;0;752,97;0;107;0
;;;;;
13366,92;20000;-6633,08;85;86;0
;;;;;
5865,68;5000;865,68;0;103;0
;;;;;
1768,99;0;1768,99;0;88;0
;;;;;
7815,9;10000;-2184,1;60;85;0
;;;;;
638,12;3000;-2361,88;91;149;0
;;;;;
573,53;6000;-5426,47;60;61;0
;;;;;
20845,96;0;20845,96;25;134;0
;;;;;
2977,42;0;2977,42;10;73;0
;;;;;
704,86;5000;-4295,14;85;110;0
;;;;;
1468,71;0;1468,71;15;;0
;;;;;
497,41;3000;-2502,59;45;125;0
;;;;;
1737,96;3000;-1262,04;60;77;0
;;;;;
;;;;;
;;;;;
97523,3;0;97523,3;30;115;1
;;;;;
19765,93;0;19765,93;25;67;0
;;;;;
22887,63;0;22887,63;0;92;0
;;;;;
1586,42;6000;-4413,58;60;64;0
;;;;;
-39,12;2000;-2039,12;30;87;0
;;;;;
144,31;0;144,31;30;0;0
;;;;;
49,64;0;49,64;30;120;0
;;;;;
43290,24;0;43290,24;5;75;1
;;;;;
5141,06;4000;1141,06;60;81;0
;;;;;
1499,54;3000;-1500,46;40;105;0
;;;;;
501,85;0;501,85;0;80;0
;;;;;
1774,68;0;1774,68;0;117;0
;;;;;
4448,82;0;4448,82;55;140;1
;;;;;
5304;0;5304;0;112;0
;;;;;
9888,85;15000;-5111,15;80;79;0
;;;;;
26292,5;6000;20292,5;30;54;0
;;;;;
2273,58;0;2273,58;0;371;0
;;;;;
3919,8;6000;-2080,2;85;105;0
;;;;;
703,79;5000;-4296,21;70;111;0
;;;;;
22336,19;0;22336,19;0;160;0
;;;;;
26574,16;10000;16574,16;80;109;1
;;;;;
3998,65;5000;-1001,35;60;164;0
;;;;;
47443,33;0;47443,33;15;127;1
;;;;;
;;;;;
;;;;;
5488,07;4000;1488,07;30;33;0
;;;;;
10465,26;3000;7465,26;30;121;0
;;;;;
1244,39;6000;-4755,61;0;48;0
;;;;;
143,29;3000;-2856,71;30;62;0
;;;;;
286,73;0;286,73;0;115;0
9569,92;0;9569,92;30;105;0
;;;;;
69,55;1000;-930,45;55;67;0
;;;;;
88442,67;0;88442,67;20;21;1
;;;;;
2181,59;3000;-818,41;60;50;0
;;;;;
5425,84;0;5425,84;0;82;0
;;;;;
-863,47;0;-863,47;10;69;0
;;;;;
26786,99;0;26786,99;30;20;1
;;;;;
2110,33;5000;-2889,67;60;66;1
;;;;;
258,01;0;258,01;0;15;0
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
4159,75;5000;-840,25;0;114;0
;;;;;
370,34;0;370,34;0;79;0
;;;;;
148,68;0;148,68;0;29;0
;;;;;
2942,05;0;2942,05;0;1;0
;;;;;
15278,79;0;15278,79;0;11;0
;;;;;
8261,75;0;8261,75;0;53;1
;;;;;
2002,21;20000;-17997,79;0;12;0
;;;;;
0;0;0;0;80;0
;;;;;
287,15;0;287,15;0;205;1
;;;;;
5409,69;0;5409,69;0;0;0
;;;;;
7,3;0;7,3;0;2;0
;;;;;
2582,33;5000;-2417,67;120;121;0
;;;;;
2140,48;0;2140,48;0;40;0
;;;;;
7368,46;10000;-2631,54;60;81;0
;;;;;
;;;;;
;;;;;
614,5;4000;-3385,5;60;89;0
;;;;;
360,79;2000;-1639,21;45;65;0
;;;;;
2951,03;2000;951,03;55;81;0
;;;;;
7071,59;0;7071,59;25;112;1
;;;;;
1853,84;3000;-1146,16;115;130;1
;;;;;
1660,34;1500;160,34;30;47;0
;;;;;
53,98;1500;-1446,02;60;46;0
;;;;;
12837,19;0;12837,19;0;7;0
;;;;;
2280,89;5000;-2719,11;65;104;0
;;;;;
2875,71;2000;875,71;20;36;0
;;;;;
363,08;6000;-5636,92;0;135;0
;;;;;
2804,27;5000;-2195,73;0;188;0
;;;;;
69,15;0;69,15;0;78;0
;;;;;
0;3000;-3000;50;16;0
;;;;;
2870,22;10000;-7129,78;60;62;1
;;;;;
353,93;10000;-9646,07;60;64;0
;;;;;
1677,74;0;1677,74;33;51;0
;;;;;
0;0;0;25;97;0
;;;;;
60,12;0;60,12;30;56;0
;;;;;
3082,54;6000;-2917,46;90;111;0
3485,86;5000;-1514,14;59;48;0
;;;;;
308,22;0;308,22;0;10;0
;;;;;
577,88;0;577,88;0;14;0
;;;;;
30,8;0;30,8;0;20;0
;;;;;
166,79;3000;-2833,21;0;23;0
;;;;;
8592,24;5000;3592,24;120;105;1
;;;;;
4272,31;0;4272,31;0;0;0
;;;;;
278,07;0;278,07;25;103;0
;;;;;
90,64;0;90,64;0;5;0
;;;;;
3111,24;20000;-16888,76;60;75;0
;;;;;
202,01;0;202,01;25;104;0
;;;;;
18968,92;5000;13968,92;30;44;0
;;;;;
367,37;3000;-2632,63;60;54;0
;;;;;
157,06;0;157,06;0;51;0
;;;;;
823,32;0;823,32;0;0;0
;;;;;
1117,82;0;1117,82;5;93;1
;;;;;
404,77;5000;-4595,23;60;75;0
;;;;;
493,46;0;493,46;0;0;0
;;;;;
239,94;30000;-29760,06;63;85;0
;;;;;
747;3000;-2253;15;138;0
;;;;;
1651,35;0;1651,35;0;40;0
;;;;;
294,56;10000;-9705,44;30;23;0
;;;;;
11,48;0;11,48;0;2;0
;;;;;
1382,61;6000;-4617,39;120;121;0
;;;;;
6609,76;10000;-3390,24;30;51;0
;;;;;
819,57;3000;-2180,43;85;101;0
;;;;;
2859,22;0;2859,22;0;26;0
;;;;;
163,31;5000;-4836,69;30;94;0
;;;;;
299,39;3000;-2700,61;60;119;0
;;;;;
4017,06;3000;1017,06;30;76;0
;;;;;
7882,15;0;7882,15;25;139;0
;;;;;
817,65;2000;-1182,35;30;68;0
;;;;;
2255,09;3000;-744,91;36;49;0
;;;;;
71,43;0;71,43;0;1;0
;;;;;
269,49;20000;-19730,51;30;40;0
;;;;;
11401,11;0;11401,11;15;140;0
;;;;;
39,53;0;39,53;0;6;0
;;;;;
467,23;2500;-2032,77;30;43;0
;;;;;
43,91;0;43,91;0;28;0
;;;;;
9288,33;25000;-15711,67;85;90;0
;;;;;
539,72;0;539,72;0;42;0
;;;;;
26108,76;0;26108,76;0;15;0
;;;;;
2267,38;0;2267,38;0;0;0
;;;;;
5648,48;0;5648,48;0;24;0
;;;;;
2831,93;0;2831,93;0;42;1
;;;;;
-75,68;10000;-10075,68;45;45;0
97,8;0;97,8;5;0;0
;;;;;
8823,01;0;8823,01;50;72;0
;;;;;
16352,21;6000;10352,21;80;77;0
;;;;;
297,73;0;297,73;0;8;0
;;;;;
493120,9;0;493120,9;0;154;1
;;;;;
365,12;0;365,12;90;79;0
;;;;;
19309,9;0;19309,9;15;137;1
;;;;;
242,4;4000;-3757,6;90;82;0
;;;;;
1904,94;0;1904,94;0;323;0
;;;;;
3083,35;0;3083,35;0;6;0
;;;;;
628,74;0;628,74;0;7;0
;;;;;
994,91;10000;-9005,09;90;53;1
;;;;;
324,74;3000;-2675,26;10;75;0
;;;;;
281,44;0;281,44;0;7;0
;;;;;
7526,71;3000;4526,71;60;72;1
;;;;;
155,32;0;155,32;0;3;0
;;;;;
11311,82;0;11311,82;0;1;0
;;;;;
245,43;10000;-9754,57;45;64;0
;;;;;
609,96;6000;-5390,04;60;59;0
;;;;;
5003,19;0;5003,19;0;-2;0
;;;;;
1509,95;20000;-18490,05;85;78;0
;;;;;
24,61;0;24,61;0;42;0
;;;;;
0;2000;-2000;90;810;0
;;;;;
4888,24;0;4888,24;0;29;0
;;;;;
9757,94;0;9757,94;5;49;0
;;;;;
73,69;0;73,69;0;0;0
;;;;;
2169,63;2000;169,63;30;;0
;;;;;
219,49;2000;-1780,51;35;57;0
;;;;;
409,95;0;409,95;0;4;0
;;;;;
96;2000;-1904;55;64;0
;;;;;
9045,14;6000;3045,14;0;24;0
;;;;;
26181,97;0;26181,97;15;51;0
;;;;;
169,35;0;169,35;0;8;0
;;;;;
276,62;0;276,62;0;1;0
;;;;;
2221,29;0;2221,29;0;2;0
;;;;;
38,86;0;38,86;12;4;0
;;;;;
76,46;0;76,46;0;4;0
;;;;;
275,86;2000;-1724,14;55;25;0
;;;;;
330,23;0;330,23;0;1;0
;;;;;
450,42;3000;-2549,58;60;67;0
;;;;;
18,16;0;18,16;0;0;0
;;;;;
1895,61;3000;-1104,39;60;66;0
;;;;;
191,35;3000;-2808,65;95;145;0
;;;;;
6331,11;3000;3331,11;30;14;0
;;;;;
5323,79;6000;-676,21;90;107;0
;;;;;
624,73;5000;-4375,27;31;35;0
-26,61;0;-26,61;0;2;0
;;;;;
1896,26;0;1896,26;0;2;0
;;;;;
156,45;0;156,45;0;4;0
;;;;;
1445,94;0;1445,94;0;11;0
;;;;;
